day,LAD22CD,GLA,trip_count
2021-10-2,E09000012,3214.651750693967,1822
2021-10-2,E09000013,3127.9172803707784,1889
2021-10-2,E09000014,3747.044298844203,2564
2021-10-2,E09000015,4084.2451424251526,5115
2021-10-2,E09000016,3842.2328646998785,7238
2021-10-2,E09000017,4232.925644298155,6919
2021-10-2,E09000018,3711.8522070840227,5303
2021-10-2,E09000019,3421.219877743954,1599
2021-10-2,E09000020,3095.4969719430537,1472
2021-10-2,E09000021,3680.430374451091,3199
2021-10-2,E09000022,3435.9394933986114,3492
2021-10-2,E09000023,3571.560851653698,4243
2021-10-2,E09000024,3394.365145634621,4225
2021-10-2,E09000025,3698.580273666996,4046
2021-10-2,E09000026,3934.251929332632,5818
2021-10-2,E09000027,3529.6878962476844,3748
2021-10-2,E09000028,3362.9906526526356,3156
2021-10-2,E09000029,3563.671620905304,5263
2021-10-2,E09000030,3514.283193411174,2359
2021-10-2,E09000031,3757.77153023453,3313
2021-10-2,E09000032,3439.4075279123053,4655
2021-10-2,E09000033,3022.840050138177,2376
2021-10-20,E09000001,4241.042331849519,120
2021-10-20,E09000002,3585.7422771598663,6529
2021-10-20,E09000003,3687.03720165863,9724
2021-10-20,E09000004,3513.382179198744,8597
2021-10-20,E09000005,3475.8174745420856,5929
2021-10-20,E09000006,4288.906593635548,8891
2021-10-20,E09000007,3015.148054094451,2606
2021-10-20,E09000008,3940.1010235632525,9134
2021-10-20,E09000009,3657.268834038875,7049
2021-10-20,E09000010,3638.8737056755303,6462
2021-10-20,E09000011,3642.0805997380085,5933
2021-10-20,E09000012,3033.0204499062233,2216
2021-10-20,E09000013,3159.5526362841824,2079
2021-10-20,E09000014,3448.9697761275543,2922
2021-10-20,E09000015,3967.126936569335,6074
2021-10-20,E09000016,3718.99112828712,9670
2021-10-20,E09000017,3958.1765229739153,8226
2021-10-20,E09000018,3445.4663008943535,6308
2021-10-20,E09000019,2894.220417084998,1923
2021-10-20,E09000020,2994.0556687127346,1578
2021-10-20,E09000021,3638.8739342332346,3804
2021-10-20,E09000022,3227.6325027865164,4127
2021-10-20,E09000023,3466.410634584377,5325
2021-10-20,E09000024,3406.781489891796,4608
2021-10-20,E09000025,3577.432447266567,4936
2021-10-20,E09000026,3750.3067686564864,7041
2021-10-20,E09000027,3560.2111690855304,4041
2021-10-20,E09000028,3082.598452265523,3669
2021-10-20,E09000029,3298.696288421899,6549
2021-10-20,E09000030,2960.959673175607,2651
2021-10-20,E09000031,3345.6484103680637,4456
2021-10-20,E09000032,3294.740251125912,4822
2021-10-20,E09000033,2855.364226088395,2392
2021-10-21,E09000001,4472.44477323187,116
2021-10-21,E09000002,3837.469753348628,6443
2021-10-21,E09000003,3721.1687029656587,9747
2021-10-21,E09000004,3569.3602185276727,8490
2021-10-21,E09000005,3596.5746006091695,5904
2021-10-21,E09000006,4297.9793336722605,9104
2021-10-21,E09000007,2891.1616105753615,2517
2021-10-21,E09000008,3767.0503237358685,9449
2021-10-21,E09000009,3659.3670583290555,6968
2021-10-21,E09000010,3739.2010661149466,6718
2021-10-21,E09000011,3638.9387452843944,6082
2021-10-21,E09000012,3051.225171089287,2187
2021-10-21,E09000013,3126.2563400494246,2042
2021-10-21,E09000014,3577.3289524913403,2954
2021-10-21,E09000015,3995.3307223186853,5856
2021-10-21,E09000016,3953.189923744563,9942
2021-10-21,E09000017,4041.88623760559,8425
2021-10-21,E09000018,3409.2696211782977,6451
2021-10-21,E09000019,3051.553822347293,1960
2021-10-21,E09000020,3280.3792596072158,1419
2021-10-21,E09000021,3559.4219024160357,3679
2021-10-21,E09000022,3179.040781503712,4144
2021-10-21,E09000023,3449.636125038174,5206
2021-10-21,E09000024,3273.7264293369376,4839
2021-10-21,E09000025,3543.3952963028123,5108
2021-10-21,E09000026,3947.567478150767,6730
2021-10-21,E09000027,3498.582617860808,4056
2021-10-21,E09000028,3101.887582961687,3638
2021-10-21,E09000029,3304.101060897553,6505
2021-10-21,E09000030,3065.5005236421252,2871
2021-10-21,E09000031,3558.126209649523,4402
2021-10-21,E09000032,3317.0342382809426,4826
2021-10-21,E09000033,2780.3452613265545,2418
2021-10-22,E09000001,4709.481986818039,115
2021-10-22,E09000002,3586.144360541441,6688
2021-10-22,E09000003,3648.841798339981,9722
2021-10-22,E09000004,3541.400711492408,8605
2021-10-22,E09000005,3566.4587291448606,5901
2021-10-22,E09000006,4232.703759085969,9293
2021-10-22,E09000007,2835.865111096581,2735
2021-10-22,E09000008,3720.3911573807954,9524
2021-10-22,E09000009,3603.852585012834,7176
2021-10-22,E09000010,3553.172743420673,6837
2021-10-22,E09000011,3416.9449470403965,6616
2021-10-22,E09000012,2998.883923974589,2395
2021-10-22,E09000013,2894.022625945817,2223
2021-10-22,E09000014,3570.4298174556097,3131
2021-10-22,E09000015,3905.586436216941,6178
2021-10-22,E09000016,3698.784339858236,10241
2021-10-22,E09000017,3867.2258348215755,8468
2021-10-22,E09000018,3391.546904708384,6470
2021-10-22,E09000019,2831.092813918857,2135
2021-10-22,E09000020,3041.524696230952,1553
2021-10-22,E09000021,3532.451627043524,3693
2021-10-22,E09000022,3123.9492860195023,4570
2021-10-22,E09000023,3285.0126892058383,5661
2021-10-22,E09000024,3263.6238954920555,4883
2021-10-22,E09000025,3428.338107467105,5540
2021-10-22,E09000026,3797.9101449489895,7342
2021-10-22,E09000027,3360.52627892951,3997
2021-10-22,E09000028,2984.774412917667,3853
2021-10-22,E09000029,3324.927107731646,6692
2021-10-22,E09000030,3213.2311603394483,2769
2021-10-22,E09000031,3344.319318029654,4725
2021-10-22,E09000032,3104.201155001763,4912
2021-10-22,E09000033,2991.4697587854644,2530
2021-10-23,E09000001,3882.5489564376267,155
2021-10-23,E09000002,3701.583950505554,5454
2021-10-23,E09000003,4157.7470028470325,7921
2021-10-23,E09000004,3867.239188884662,6770
2021-10-23,E09000005,3650.789759686935,5118
2021-10-23,E09000006,4063.1963187252218,8277
2021-10-23,E09000007,3194.687918799314,2342
2021-10-23,E09000008,3952.895958056182,8059
2021-10-23,E09000009,3724.1086945529214,5981
2021-10-23,E09000010,3916.5745329768424,5550
2021-10-23,E09000011,3828.3637953925695,5268
2021-10-23,E09000012,3375.894173257894,2032
2021-10-23,E09000013,3528.3145976760934,1846
2021-10-23,E09000014,3833.087199894526,2668
2021-10-23,E09000015,3894.659921822907,5508
2021-10-23,E09000016,3942.0314879164025,8005
2021-10-23,E09000017,4242.441483658269,7121
2021-10-23,E09000018,3797.833680911663,5378
2021-10-23,E09000019,3352.1892910304236,1777
2021-10-23,E09000020,3137.5601695762675,1379
2021-10-23,E09000021,3745.1184496113083,3089
2021-10-23,E09000022,3420.719562403815,3876
2021-10-23,E09000023,3399.575817839167,4652
2021-10-23,E09000024,3431.0033630195067,4188
2021-10-23,E09000025,3577.0497210739236,4392
2021-10-23,E09000026,4109.559544733209,6084
2021-10-23,E09000027,3510.1505856257622,3638
2021-10-23,E09000028,3342.6353826186187,3375
2021-10-23,E09000029,3684.564048469928,5212
2021-10-23,E09000030,3385.2685838768234,2573
2021-10-23,E09000031,3640.0134856643967,3736
2021-10-23,E09000032,3454.1046808551273,4437
2021-10-23,E09000033,3056.590276505457,2394
2021-10-24,E09000001,3707.1944987955403,104
2021-10-24,E09000002,4156.370640181686,4059
2021-10-24,E09000003,4202.0732166936905,6712
2021-10-24,E09000004,3915.6086087433805,4844
2021-10-24,E09000005,3925.418340447772,3737
2021-10-24,E09000006,4334.17229450632,6197
2021-10-24,E09000007,3461.3180473575017,1982
2021-10-24,E09000008,4267.036326195362,5599
2021-10-24,E09000009,4043.0120080132665,4498
2021-10-24,E09000010,4179.616801355142,4192
