day,LAD22CD,activity_count
2021-10-22,E09000012,1348
2021-10-22,E09000013,1815
2021-10-22,E09000014,1642
2021-10-22,E09000015,2206
2021-10-22,E09000016,4584
2021-10-22,E09000017,4354
2021-10-22,E09000018,2625
2021-10-22,E09000019,1943
2021-10-22,E09000020,1821
2021-10-22,E09000021,2116
2021-10-22,E09000022,2420
2021-10-22,E09000023,2145
2021-10-22,E09000024,2056
2021-10-22,E09000025,2947
2021-10-22,E09000026,2833
2021-10-22,E09000027,2020
2021-10-22,E09000028,2456
2021-10-22,E09000029,2866
2021-10-22,E09000030,2082
2021-10-22,E09000031,2006
2021-10-22,E09000032,2870
2021-10-22,E09000033,5027
2021-10-23,E09000001,619
2021-10-23,E09000002,2023
2021-10-23,E09000003,3302
2021-10-23,E09000004,2996
2021-10-23,E09000005,2732
2021-10-23,E09000006,4350
2021-10-23,E09000007,2209
2021-10-23,E09000008,4081
2021-10-23,E09000009,2888
2021-10-23,E09000010,2630
2021-10-23,E09000011,3086
2021-10-23,E09000012,1177
2021-10-23,E09000013,1894
2021-10-23,E09000014,1655
2021-10-23,E09000015,2364
2021-10-23,E09000016,4024
2021-10-23,E09000017,4165
2021-10-23,E09000018,2377
2021-10-23,E09000019,1137
2021-10-23,E09000020,1682
2021-10-23,E09000021,2035
2021-10-23,E09000022,2370
2021-10-23,E09000023,2034
2021-10-23,E09000024,1964
2021-10-23,E09000025,3253
2021-10-23,E09000026,2527
2021-10-23,E09000027,2078
2021-10-23,E09000028,2294
2021-10-23,E09000029,2386
2021-10-23,E09000030,1822
2021-10-23,E09000031,1746
2021-10-23,E09000032,2390
2021-10-23,E09000033,4949
2021-10-24,E09000001,412
2021-10-24,E09000002,1414
2021-10-24,E09000003,2981
2021-10-24,E09000004,2230
2021-10-24,E09000005,1985
2021-10-24,E09000006,3213
2021-10-24,E09000007,1742
2021-10-24,E09000008,2684
2021-10-24,E09000009,2177
2021-10-24,E09000010,2015
2021-10-24,E09000011,2514
2021-10-24,E09000012,912
2021-10-24,E09000013,1148
2021-10-24,E09000014,1240
2021-10-24,E09000015,1736
2021-10-24,E09000016,2875
2021-10-24,E09000017,3139
2021-10-24,E09000018,2211
2021-10-24,E09000019,782
2021-10-24,E09000020,1216
2021-10-24,E09000021,1443
2021-10-24,E09000022,1574
2021-10-24,E09000023,1366
2021-10-24,E09000024,1562
2021-10-24,E09000025,3060
2021-10-24,E09000026,2161
2021-10-24,E09000027,1461
2021-10-24,E09000028,1750
2021-10-24,E09000029,1665
2021-10-24,E09000030,1564
2021-10-24,E09000031,1338
2021-10-24,E09000032,1786
2021-10-24,E09000033,3422
2021-10-25,E09000001,981
2021-10-25,E09000002,1689
2021-10-25,E09000003,3151
2021-10-25,E09000004,2520
2021-10-25,E09000005,2361
2021-10-25,E09000006,3888
2021-10-25,E09000007,2363
2021-10-25,E09000008,3253
2021-10-25,E09000009,2359
2021-10-25,E09000010,2161
2021-10-25,E09000011,2605
2021-10-25,E09000012,940
2021-10-25,E09000013,1474
2021-10-25,E09000014,1308
2021-10-25,E09000015,1671
2021-10-25,E09000016,3125
2021-10-25,E09000017,3464
2021-10-25,E09000018,2218
2021-10-25,E09000019,1081
2021-10-25,E09000020,1526
2021-10-25,E09000021,1778
2021-10-25,E09000022,1764
2021-10-25,E09000023,1682
2021-10-25,E09000024,1687
2021-10-25,E09000025,2504
2021-10-25,E09000026,2038
2021-10-25,E09000027,1526
2021-10-25,E09000028,1930
2021-10-25,E09000029,1831
2021-10-25,E09000030,1758
2021-10-25,E09000031,1520
2021-10-25,E09000032,2167
2021-10-25,E09000033,4491
2021-10-26,E09000001,1226
2021-10-26,E09000002,1493
2021-10-26,E09000003,2998
2021-10-26,E09000004,2470
2021-10-26,E09000005,2084
2021-10-26,E09000006,3742
2021-10-26,E09000007,2685
2021-10-26,E09000008,3110
2021-10-26,E09000009,2342
2021-10-26,E09000010,2040
2021-10-26,E09000011,2585
2021-10-26,E09000012,994
2021-10-26,E09000013,1984
2021-10-26,E09000014,1283
2021-10-26,E09000015,1708
2021-10-26,E09000016,3052
2021-10-26,E09000017,3092
2021-10-26,E09000018,2052
2021-10-26,E09000019,1535
2021-10-26,E09000020,1598
2021-10-26,E09000021,1586
2021-10-26,E09000022,1844
2021-10-26,E09000023,1627
2021-10-26,E09000024,1623
2021-10-26,E09000025,2292
2021-10-26,E09000026,1914
2021-10-26,E09000027,1596
2021-10-26,E09000028,2180
2021-10-26,E09000029,1872
2021-10-26,E09000030,1839
2021-10-26,E09000031,1423
2021-10-26,E09000032,2227
2021-10-26,E09000033,5126
2021-10-27,E09000001,1436
2021-10-27,E09000002,1725
2021-10-27,E09000003,2988
2021-10-27,E09000004,2433
2021-10-27,E09000005,2234
2021-10-27,E09000006,3891
2021-10-27,E09000007,2653
2021-10-27,E09000008,3218
2021-10-27,E09000009,2419
2021-10-27,E09000010,2253
2021-10-27,E09000011,2695
2021-10-27,E09000012,1008
2021-10-27,E09000013,1531
2021-10-27,E09000014,1343
2021-10-27,E09000015,1719
2021-10-27,E09000016,3241
2021-10-27,E09000017,3236
2021-10-27,E09000018,2099
2021-10-27,E09000019,1149
2021-10-27,E09000020,1565
2021-10-27,E09000021,1584
2021-10-27,E09000022,1963
2021-10-27,E09000023,1658
2021-10-27,E09000024,1703
2021-10-27,E09000025,2778
2021-10-27,E09000026,2139
2021-10-27,E09000027,1754
2021-10-27,E09000028,2239
2021-10-27,E09000029,1952
2021-10-27,E09000030,1903
2021-10-27,E09000031,1480
2021-10-27,E09000032,2193
2021-10-27,E09000033,5167
2021-10-28,E09000001,1399
2021-10-28,E09000002,1724
2021-10-28,E09000003,3273
2021-10-28,E09000004,2524
2021-10-28,E09000005,2192
2021-10-28,E09000006,4069
2021-10-28,E09000007,2938
2021-10-28,E09000008,3189
2021-10-28,E09000009,2393
2021-10-28,E09000010,2254
2021-10-28,E09000011,2793
2021-10-28,E09000012,971
2021-10-28,E09000013,1599
2021-10-28,E09000014,1340
2021-10-28,E09000015,1770
2021-10-28,E09000016,3294
2021-10-28,E09000017,3211
2021-10-28,E09000018,2070
2021-10-28,E09000019,1291
2021-10-28,E09000020,1738
2021-10-28,E09000021,1833
2021-10-28,E09000022,2102
2021-10-28,E09000023,1745
2021-10-28,E09000024,1618
2021-10-28,E09000025,2412
2021-10-28,E09000026,2112
2021-10-28,E09000027,1606
2021-10-28,E09000028,2282
2021-10-28,E09000029,1935
2021-10-28,E09000030,1973
2021-10-28,E09000031,1561
2021-10-28,E09000032,2180
2021-10-28,E09000033,5667
2021-10-29,E09000001,1047
2021-10-29,E09000002,1789
2021-10-29,E09000003,3269
2021-10-29,E09000004,2778
2021-10-29,E09000005,2329
2021-10-29,E09000006,4336
2021-10-29,E09000007,2820
2021-10-29,E09000008,3521
2021-10-29,E09000009,2580
2021-10-29,E09000010,2395
2021-10-29,E09000011,2785
2021-10-29,E09000012,1189
